time,cpu,net_in,net_out,ram percent,ram gb
2022-12-29 20:10:56.488230,14.0,0.001,0.0,70.8,2.95837696
2022-12-29 20:11:01.528195,29.6,0.001,0.0,71.3,2.977878016
2022-12-29 20:11:06.605854,28.4,0.001,0.001,71.8,2.9980672
2022-12-29 20:11:11.665395,45.5,0.001,0.0,71.6,2.991177728
2022-12-29 20:11:16.724780,13.1,0.0,0.002,71.3,2.97984
2022-12-29 20:11:21.768784,12.2,0.001,0.0,71.7,2.995412992
2022-12-29 20:11:26.826650,64.6,0.024,0.01,71.5,2.986192896
2022-12-29 20:11:31.877265,17.2,0.001,0.001,71.3,2.977492992
2022-12-29 20:11:36.939141,16.9,0.001,0.001,71.4,2.981740544
2022-12-29 20:11:42.078590,57.3,0.001,0.0,72.6,3.033808896
2022-12-29 20:11:47.130956,19.5,0.001,0.0,71.8,2.997694464
2022-12-29 20:11:52.222924,23.9,0.012,0.113,71.6,2.990026752
2022-12-29 20:11:57.352943,58.0,0.001,0.004,72.4,3.025747968
2022-12-29 20:12:02.420233,13.5,0.0,0.0,72.2,3.01684736
2022-12-29 20:12:07.487179,16.9,0.0,0.002,72.2,3.01477888
2022-12-29 20:12:12.537837,54.3,0.0,0.002,72.8,3.038867456
2022-12-29 20:12:17.590766,16.3,0.0,0.0,72.4,3.022307328
2022-12-29 20:12:22.666396,16.7,0.001,0.0,72.1,3.010306048
2022-12-29 20:12:27.759155,56.9,0.0,0.0,72.9,3.044200448
2022-12-29 20:12:32.828142,14.4,0.0,0.0,72.5,3.028353024
2022-12-29 20:12:37.905764,18.8,0.001,0.001,72.3,3.019649024
2022-12-29 20:12:42.972669,60.2,0.001,0.001,74.1,3.094532096
2022-12-29 20:12:48.027526,47.7,0.001,0.0,73.0,3.04777216
2022-12-29 20:12:53.089822,17.6,0.001,0.0,72.7,3.037036544
2022-12-29 20:12:58.142081,18.0,0.001,0.0,73.0,3.050139648
2022-12-29 20:13:03.193685,56.5,0.002,0.0,73.4,3.065782272
2022-12-29 20:13:08.286872,13.4,0.008,0.003,72.8,3.041468416
2022-12-29 20:13:13.394178,13.8,0.001,0.001,72.6,3.032027136
2022-12-29 20:13:18.455825,56.6,0.001,0.0,72.6,3.032715264
2022-12-29 20:13:23.508512,13.7,0.002,0.002,72.8,3.040264192
2022-12-29 20:13:28.589541,20.6,0.0,0.0,72.8,3.03958016
2022-12-29 20:13:33.636609,58.5,0.0,0.0,74.2,3.097972736
2022-12-29 20:13:38.738141,9.3,0.0,0.0,72.7,3.037073408
2022-12-29 20:13:43.828246,11.5,0.0,0.0,72.7,3.035193344
2022-12-29 20:13:48.883934,54.7,0.0,0.0,73.6,3.073687552
2022-12-29 20:13:54.013411,16.9,0.001,0.001,72.7,3.034529792
2022-12-29 20:13:59.107262,27.3,0.0,0.0,73.3,3.060596736
2022-12-29 20:14:04.155280,67.2,0.001,0.0,74.6,3.115511808
2022-12-29 20:14:09.216122,78.3,0.021,0.004,72.0,3.005382656
2022-12-29 20:14:14.274473,47.1,0.018,0.0,70.0,2.92306944
2022-12-29 20:14:19.344235,82.6,0.001,0.0,70.4,2.94240256
2022-12-29 20:14:24.406427,25.8,0.003,0.0,70.5,2.94479872
2022-12-29 20:14:29.456221,22.8,0.002,0.0,70.5,2.94416384
2022-12-29 20:14:34.566275,21.7,0.001,0.001,71.3,2.979692544
2022-12-29 20:14:39.626634,40.3,0.0,0.0,70.9,2.96136704
2022-12-29 20:14:44.694667,13.6,0.001,0.001,70.9,2.961149952
2022-12-29 20:14:49.757531,10.1,0.0,0.0,71.4,2.980200448
2022-12-29 20:14:54.795137,54.6,0.0,0.0,71.2,2.974367744
2022-12-29 20:14:59.855777,24.6,0.001,0.0,71.5,2.985811968
2022-12-29 20:15:04.986183,17.4,0.001,0.0,71.6,2.990362624
2022-12-29 20:15:10.055860,55.8,0.002,0.0,71.5,2.98788864
2022-12-29 20:15:15.105232,14.5,0.0,0.0,71.3,2.97867264
2022-12-29 20:15:20.169706,15.8,0.0,0.001,71.3,2.976759808
2022-12-29 20:15:25.261369,56.1,0.0,0.0,72.8,3.04060416
2022-12-29 20:15:30.314108,16.5,0.0,0.0,71.2,2.973876224
2022-12-29 20:15:35.424661,15.7,0.0,0.0,71.2,2.97324544
2022-12-29 20:15:40.502439,55.5,0.0,0.0,72.2,3.015503872
2022-12-29 20:15:45.567494,12.3,0.0,0.0,71.2,2.975440896
2022-12-29 20:15:50.651346,21.1,0.0,0.001,71.2,2.974957568
2022-12-29 20:15:55.706195,87.9,0.0,0.0,72.9,3.044462592
2022-12-29 20:16:00.784466,74.2,0.015,0.005,72.4,3.022999552
2022-12-29 20:16:05.836223,48.1,0.0,0.0,72.2,3.015917568
2022-12-29 20:16:10.881219,38.9,0.0,0.001,72.1,3.009601536
2022-12-29 20:16:15.932787,37.7,0.01,0.005,71.7,2.99556864
2022-12-29 20:16:20.995972,11.3,0.0,0.0,71.7,2.995818496
2022-12-29 20:16:26.057626,9.3,0.0,0.0,72.1,3.012747264
2022-12-29 20:16:31.124090,57.7,0.0,0.0,71.7,2.994786304
2022-12-29 20:16:36.191503,13.1,0.0,0.0,71.7,2.992758784
2022-12-29 20:16:41.247838,16.4,0.0,0.0,71.7,2.992828416
2022-12-29 20:16:46.355793,93.8,0.0,0.0,73.4,3.065192448
2022-12-29 20:16:51.454607,52.3,0.0,0.001,72.2,3.01398016
2022-12-29 20:16:56.502186,13.8,0.0,0.0,71.9,3.004481536
2022-12-29 20:17:01.552741,57.7,0.001,0.0,73.5,3.07197952
2022-12-29 20:17:06.613650,50.0,0.0,0.0,73.3,3.062280192
2022-12-29 20:17:11.674784,13.7,0.001,0.0,72.8,3.039076352
2022-12-29 20:17:16.759087,55.3,0.0,0.0,73.4,3.06540544
2022-12-29 20:17:21.840979,14.4,0.001,0.001,72.5,3.028635648
2022-12-29 20:17:26.897053,14.0,0.0,0.001,72.4,3.023867904
2022-12-29 20:17:31.944026,56.9,0.0,0.0,72.8,3.042725888
2022-12-29 20:17:37.026895,13.1,0.0,0.0,72.2,3.015036928
2022-12-29 20:17:42.104290,16.7,0.0,0.0,72.2,3.014537216
2022-12-29 20:17:47.180282,48.4,0.0,0.0,72.7,3.037069312
2022-12-29 20:17:52.232517,12.2,0.002,0.0,72.5,3.028918272
2022-12-29 20:17:57.294201,11.6,0.001,0.001,72.5,3.027775488
2022-12-29 20:18:02.340432,14.6,0.001,0.0,73.1,3.053780992
2022-12-29 20:18:07.410972,48.1,0.001,0.0,72.9,3.043700736
2022-12-29 20:18:12.500700,11.5,0.001,0.0,72.5,3.027161088
2022-12-29 20:18:17.560556,9.1,0.001,0.0,72.0,3.007700992
2022-12-29 20:18:22.631867,53.1,0.001,0.0,72.4,3.024216064
2022-12-29 20:18:27.691962,12.3,0.001,0.001,72.4,3.024154624
2022-12-29 20:18:32.761842,14.0,0.001,0.0,72.0,3.0088192
2022-12-29 20:18:37.851290,59.8,0.0,0.0,73.4,3.067584512
2022-12-29 20:18:42.977091,14.5,0.0,0.0,72.1,3.010732032
2022-12-29 20:18:48.121034,13.0,0.0,0.0,72.0,3.007172608
2022-12-29 20:18:53.239777,57.4,0.001,0.0,73.2,3.05717248
2022-12-29 20:18:58.299475,11.6,0.0,0.0,72.0,3.007135744
2022-12-29 20:19:03.480824,10.5,0.0,0.0,72.4,3.025231872
2022-12-29 20:19:08.555911,52.3,0.001,0.0,73.3,3.063083008
2022-12-29 20:19:13.631606,29.1,0.019,0.0,72.0,3.007868928
2022-12-29 20:19:18.716608,42.7,0.001,0.001,71.8,2.998157312
2022-12-29 20:19:23.778167,59.4,0.0,0.001,72.6,3.031552
2022-12-29 20:19:28.860695,9.2,0.0,0.001,72.0,3.005415424
2022-12-29 20:19:33.924190,9.3,0.001,0.001,71.9,3.004342272
2022-12-29 20:19:39.055103,39.8,0.0,0.0,72.5,3.027316736
2022-12-29 20:19:44.108232,24.2,0.001,0.001,72.1,3.009634304
2022-12-29 20:19:49.157726,21.6,0.0,0.0,72.0,3.008217088
2022-12-29 20:19:54.253642,7.0,0.0,0.0,72.5,3.0302208
2022-12-29 20:19:59.305697,56.5,0.0,0.001,72.4,3.022544896
2022-12-29 20:20:04.364082,13.8,0.001,0.001,72.2,3.016081408
2022-12-29 20:20:09.408442,6.2,0.0,0.0,72.2,3.014750208
2022-12-29 20:20:14.454605,53.8,0.004,0.0,72.0,3.007995904
2022-12-29 20:20:19.544717,12.1,0.0,0.0,72.1,3.011842048
2022-12-29 20:20:24.615333,9.4,0.001,0.0,72.1,3.010121728
2022-12-29 20:20:29.711021,58.5,0.0,0.0,73.5,3.070398464
2022-12-29 20:20:34.761822,9.4,0.001,0.001,72.2,3.01436928
2022-12-29 20:20:39.805737,10.7,0.002,0.0,72.1,3.012931584
2022-12-29 20:20:44.886042,52.7,0.0,0.0,73.2,3.056672768
2022-12-29 20:20:49.945181,8.5,0.0,0.0,72.2,3.01410304
2022-12-29 20:20:55.000886,12.8,0.001,0.0,72.2,3.014422528
2022-12-29 20:21:00.085090,53.9,0.0,0.001,73.0,3.047727104
2022-12-29 20:21:05.173975,7.0,0.0,0.001,72.2,3.014373376
2022-12-29 20:21:10.241674,12.2,0.001,0.0,72.2,3.013644288
2022-12-29 20:21:15.305058,43.0,0.0,0.0,72.4,3.024941056
2022-12-29 20:21:20.350314,10.0,0.0,0.0,72.2,3.014610944
2022-12-29 20:21:25.388425,8.5,0.0,0.0,72.1,3.011756032
2022-12-29 20:21:30.432686,5.3,0.0,0.0,72.6,3.033632768
2022-12-29 20:21:35.480953,44.6,0.001,0.003,72.1,3.009449984
2022-12-29 20:21:40.538362,10.0,0.0,0.001,72.0,3.0081024
2022-12-29 20:21:45.571254,11.5,0.001,0.003,72.0,3.009388544
2022-12-29 20:21:50.614239,55.5,0.0,0.001,72.2,3.015999488
2022-12-29 20:21:55.737485,10.7,0.0,0.0,72.2,3.014238208
2022-12-29 20:22:00.770270,10.9,0.0,0.0,72.2,3.013705728
2022-12-29 20:22:05.845391,56.9,0.0,0.0,72.0,3.008028672
2022-12-29 20:22:10.903864,4.7,0.0,0.0,70.8,2.9554688
2022-12-29 20:22:15.992740,6.2,0.0,0.0,70.8,2.955763712
2022-12-29 20:22:21.040204,54.3,0.001,0.0,71.7,2.99626496
2022-12-29 20:22:26.083087,13.2,0.001,0.0,70.8,2.955362304
2022-12-29 20:22:31.158643,6.2,0.0,0.0,70.7,2.953805824
2022-12-29 20:22:36.213151,53.5,0.0,0.0,71.7,2.994356224
2022-12-29 20:22:41.255308,8.2,0.0,0.0,70.7,2.954174464
2022-12-29 20:22:46.348554,6.2,0.0,0.0,70.7,2.953203712
2022-12-29 20:22:51.387720,50.0,0.0,0.0,71.3,2.977869824
2022-12-29 20:22:56.464875,11.5,0.001,0.001,70.8,2.955649024
2022-12-29 20:23:01.544772,8.5,0.002,0.0,70.8,2.955218944
2022-12-29 20:23:06.581652,8.6,0.0,0.0,71.3,2.976710656
2022-12-29 20:23:11.654188,32.1,0.006,0.001,70.8,2.955563008
2022-12-29 20:23:16.745249,6.1,0.001,0.0,70.6,2.95090176
2022-12-29 20:23:21.800708,6.1,0.001,0.001,71.1,2.968035328
2022-12-29 20:23:26.896247,56.5,0.001,0.0,71.0,2.966884352
2022-12-29 20:23:31.963271,10.0,0.0,0.0,70.9,2.96189952
2022-12-29 20:23:37.037308,9.9,0.0,0.0,70.9,2.960359424
2022-12-29 20:23:42.121584,52.7,0.0,0.0,72.1,3.01326336
2022-12-29 20:23:47.180487,5.5,0.0,0.0,70.9,2.963001344
2022-12-29 20:23:52.305908,5.3,0.002,0.0,70.9,2.962620416
2022-12-29 20:23:57.401587,53.1,0.001,0.0,72.3,3.021770752
2022-12-29 20:24:02.529338,6.1,0.0,0.0,71.0,2.964832256
2022-12-29 20:24:07.638182,10.6,0.001,0.0,71.0,2.964045824
2022-12-29 20:24:12.689027,64.6,0.019,0.0,71.9,3.001102336
2022-12-29 20:24:17.750912,50.4,0.002,0.0,70.8,2.959077376
2022-12-29 20:24:22.862440,100.0,0.007,0.002,77.3,3.229380608
2022-12-29 20:24:27.994090,100.0,0.0,0.0,84.6,3.53200128
2022-12-29 20:24:33.069825,83.7,0.0,0.0,81.6,3.409989632
2022-12-29 20:24:38.183852,64.2,0.0,0.0,76.8,3.208073216
2022-12-29 20:24:43.311843,71.6,0.001,0.0,74.6,3.113893888
2022-12-29 20:24:48.491999,98.6,0.0,0.001,75.3,3.145510912
2022-12-29 20:24:53.595754,43.9,0.0,0.0,74.7,3.120898048
2022-12-29 20:24:58.711181,22.0,0.01,0.002,76.0,3.1742976
2022-12-29 20:25:03.931588,100.0,0.007,0.006,77.0,3.215376384
2022-12-29 20:25:09.189839,100.0,0.144,0.013,77.8,3.250405376
2022-12-29 20:25:14.560146,62.5,0.0,0.001,76.4,3.189932032
2022-12-29 20:25:19.706906,74.4,0.001,0.001,75.8,3.165360128
2022-12-29 20:25:24.789488,42.4,0.0,0.0,76.0,3.174383616
2022-12-29 20:25:29.966573,10.8,0.0,0.0,75.4,3.148091392
2022-12-29 20:25:35.040861,56.2,0.0,0.0,74.5,3.11230464
2022-12-29 20:25:40.081297,23.7,0.004,0.0,74.5,3.112935424
2022-12-29 20:25:45.156773,37.4,0.003,0.0,75.2,3.142230016
2022-12-29 20:25:50.257975,71.0,0.001,0.001,77.1,3.218919424
2022-12-29 20:25:55.339318,40.7,0.002,0.0,75.1,3.134881792
2022-12-29 20:26:00.375454,33.1,0.0,0.0,75.6,3.156197376
2022-12-29 20:26:05.465939,56.8,0.001,0.0,76.6,3.199131648
2022-12-29 20:26:10.578010,31.2,0.001,0.0,75.2,3.141849088
2022-12-29 20:26:15.643203,28.5,0.003,0.0,74.7,3.120406528
